City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,58.14,88,20,0.0,ZA,1627449534
1,severobaykalsk,55.65,109.3167,67.87,54,74,0.98,RU,1627449534
2,ushuaia,-54.8,-68.3,38.86,93,75,11.5,AR,1627449534
3,umm kaddadah,13.6017,26.6876,77.36,72,100,5.73,SD,1627449535
4,puerto narino,-3.7703,-70.3831,73.35,94,34,2.33,CO,1627449535
5,albany,42.6001,-73.9662,66.15,93,80,3.09,US,1627449315
6,mahebourg,-20.4081,57.7,70.09,78,75,18.41,MU,1627449536
7,punta arenas,-53.15,-70.9167,44.71,93,75,20.71,CL,1627449536
8,zyryanka,65.75,150.85,43.9,84,100,12.39,RU,1627449536
9,chancay,-11.5714,-77.2672,60.67,89,65,7.78,PE,1627449537
10,rikitea,-23.1203,-134.9692,74.55,80,100,14.2,PF,1627449537
11,ushtobe,45.2514,77.9838,82.02,24,0,20.85,KZ,1627449538
12,cockburn town,21.4612,-71.1419,81.54,76,30,16.67,TC,1627449538
13,hobart,-42.8794,147.3294,57.25,54,20,8.01,AU,1627449538
14,taoudenni,22.6783,-3.9836,94.96,16,74,17.02,ML,1627449539
15,vaini,-21.2,-175.2,69.96,78,75,6.91,TO,1627449539
16,butaritari,3.0707,172.7902,81.84,72,100,5.35,KI,1627449540
17,nanortalik,60.1432,-45.2371,43.75,84,100,3.04,GL,1627449540
18,lagunillas,10.1301,-71.2595,77.56,88,100,4.34,VE,1627449540
19,hermanus,-34.4187,19.2345,50.9,64,99,10.58,ZA,1627449541
20,cuajinicuilapa,16.4667,-98.4167,76.71,87,93,2.01,MX,1627449541
21,port alfred,-33.5906,26.891,59.0,83,7,12.1,ZA,1627449542
22,half moon bay,37.4636,-122.4286,75.02,84,1,0.0,US,1627449306
23,kapaa,22.0752,-159.319,82.38,75,40,3.0,US,1627449542
24,hobyo,5.3505,48.5268,77.58,74,99,21.0,SO,1627449542
25,gat,31.61,34.7642,82.4,69,0,3.74,IL,1627449543
26,grand gaube,-20.0064,57.6608,70.2,84,89,13.0,MU,1627449543
27,chokurdakh,70.6333,147.9167,50.7,45,38,15.61,RU,1627449544
28,busselton,-33.65,115.3333,62.04,66,54,21.32,AU,1627449545
29,mar del plata,-38.0023,-57.5575,44.13,64,90,8.99,AR,1627449487
30,plouzane,48.3833,-4.6167,59.32,94,90,11.5,FR,1627449545
31,kieta,-6.2167,155.6333,82.83,74,90,4.23,PG,1627449546
32,buraydah,26.326,43.975,95.45,14,36,14.05,SA,1627449546
33,buala,-8.145,159.5921,83.05,74,94,8.72,SB,1627449547
34,lompoc,34.6391,-120.4579,63.01,82,90,6.91,US,1627449547
35,fairbanks,64.8378,-147.7164,59.09,93,90,1.01,US,1627449301
36,bluff,-46.6,168.3333,51.8,74,44,1.19,NZ,1627449548
37,cururupu,-1.8283,-44.8683,74.17,93,62,3.0,BR,1627449548
38,xinzhi,36.4989,111.7047,84.81,54,100,1.48,CN,1627449548
39,barrow,71.2906,-156.7887,41.02,92,90,14.97,US,1627449549
40,avarua,-21.2078,-159.775,69.85,83,13,1.14,CK,1627449549
41,arraial do cabo,-22.9661,-42.0278,70.34,76,0,20.29,BR,1627449550
42,itoman,26.1247,127.6694,93.58,74,75,11.5,JP,1627449550
43,eyl,7.9803,49.8164,80.73,51,92,26.64,SO,1627449551
44,kenai,60.5544,-151.2583,66.02,73,1,19.57,US,1627449417
45,northam,51.0333,-4.2167,60.03,95,23,8.25,GB,1627449551
46,lufilufi,-13.8745,-171.5986,82.18,74,29,12.88,WS,1627449552
47,samarai,-10.6167,150.6667,79.05,85,91,11.48,PG,1627449552
48,kropotkin,45.4375,40.5756,72.93,48,9,8.16,RU,1627449552
49,la ronge,55.1001,-105.2842,55.62,94,20,1.14,CA,1627449553
50,kodiak,57.79,-152.4072,60.31,63,90,12.66,US,1627449553
51,tezu,27.9167,96.1667,95.61,49,62,3.71,IN,1627449554
52,cherskiy,68.75,161.3,38.46,74,100,16.78,RU,1627449554
53,husavik,66.0449,-17.3389,49.91,99,100,9.82,IS,1627449554
54,zaraysk,54.7653,38.8836,72.09,62,36,4.7,RU,1627449555
55,hithadhoo,-0.6,73.0833,81.18,77,75,9.55,MV,1627449555
56,ust-omchug,61.15,149.6333,51.8,56,98,7.92,RU,1627449555
57,naze,28.3667,129.4833,83.32,84,61,11.95,JP,1627449556
58,hof,50.3167,11.9167,64.8,88,75,6.91,DE,1627449556
59,duvan,55.695,57.9024,57.18,54,69,8.99,RU,1627449557
60,deputatskiy,69.3,139.9,44.6,65,97,6.11,RU,1627449557
61,kalmunai,7.4167,81.8167,89.51,53,100,4.65,LK,1627449557
62,qaanaaq,77.484,-69.3632,42.46,90,98,5.06,GL,1627449558
63,port lincoln,-34.7333,135.8667,56.86,54,14,23.47,AU,1627449558
64,weligama,5.9667,80.4167,82.29,81,97,12.66,LK,1627449356
65,hasaki,35.7333,140.8333,88.29,79,100,22.46,JP,1627449559
66,newport,51.5877,-2.9984,60.91,90,80,7.36,GB,1627449270
67,atambua,-9.1061,124.8925,85.26,46,65,1.88,ID,1627449559
68,tasiilaq,65.6145,-37.6368,33.96,78,21,7.09,GL,1627449560
69,faanui,-16.4833,-151.75,77.23,76,71,7.16,PF,1627449560
70,kruisfontein,-34.0033,24.7314,50.88,85,24,9.06,ZA,1627449561
71,mataura,-46.1927,168.8643,51.48,89,87,2.39,NZ,1627449561
72,patiya,22.2931,91.9762,77.61,96,100,9.71,BD,1627449561
73,kodinsk,58.6881,99.1844,76.87,60,100,6.69,RU,1627449562
74,georgetown,5.4112,100.3354,89.53,66,20,9.22,MY,1627449311
75,petrozavodsk,61.7849,34.3469,67.46,73,0,4.47,RU,1627449562
76,chuy,-33.6971,-53.4616,44.26,81,68,14.14,UY,1627449563
77,kencong,-8.2833,113.3667,84.11,56,18,10.42,ID,1627449563
78,kavaratti,10.5669,72.642,81.79,78,100,19.98,IN,1627449564
79,bandarbeyla,9.4942,50.8122,82.36,54,64,32.7,SO,1627449564
80,bethel,41.3712,-73.414,71.96,89,90,3.44,US,1627449564
81,huilong,31.8111,121.655,86.04,91,100,21.94,CN,1627449565
82,dryden,49.7833,-92.7503,62.37,57,2,4.47,CA,1627449306
83,clyde river,70.4692,-68.5914,44.83,87,90,4.61,CA,1627449565
84,guerrero negro,27.9769,-114.0611,70.0,83,22,14.27,MX,1627449566
85,tuktoyaktuk,69.4541,-133.0374,50.0,87,90,10.36,CA,1627449566
86,penha,-26.7694,-48.6458,48.16,69,19,14.54,BR,1627449566
87,cayenne,4.9333,-52.3333,81.09,82,0,1.99,GF,1627449567
88,jamestown,42.097,-79.2353,67.64,88,20,1.63,US,1627449409
89,beringovskiy,63.05,179.3167,47.66,87,100,23.58,RU,1627449567
90,grindavik,63.8424,-22.4338,51.57,100,0,10.36,IS,1627449568
91,cape town,-33.9258,18.4232,49.26,88,20,2.3,ZA,1627449439
92,norman wells,65.282,-126.8329,60.84,77,75,3.44,CA,1627449569
93,namatanai,-3.6667,152.4333,83.98,68,50,5.53,PG,1627449569
94,sabang,5.8933,95.3214,83.25,75,90,21.81,ID,1627449569
95,souillac,-20.5167,57.5167,70.18,78,75,18.41,MU,1627449570
96,carutapera,-1.195,-46.02,77.23,86,90,4.85,BR,1627449570
97,aldama,22.9167,-98.0667,81.63,87,47,2.04,MX,1627449571
98,banmankhi,25.8833,87.1833,84.45,80,100,8.97,IN,1627449571
99,cidreira,-30.1811,-50.2056,45.07,63,4,17.94,BR,1627449571
100,nikolskoye,59.7035,30.7861,71.8,68,100,5.35,RU,1627449572
101,svetlogorsk,52.6333,29.7333,67.53,90,74,5.08,BY,1627449572
102,grand junction,39.0639,-108.5507,83.28,44,1,1.01,US,1627449573
103,paragominas,-2.9667,-47.4833,71.15,95,72,2.24,BR,1627449573
104,shirokiy,49.758,129.523,79.11,77,99,6.35,RU,1627449574
105,tura,25.5198,90.2201,85.08,70,97,9.08,IN,1627449574
106,upata,8.0086,-62.3989,74.19,98,100,1.95,VE,1627449574
107,halifax,44.6453,-63.5724,63.68,93,91,1.14,CA,1627449351
108,kahului,20.8947,-156.47,78.84,78,40,14.97,US,1627449575
109,sorong,-0.8833,131.25,85.73,68,100,4.54,ID,1627449575
110,new norfolk,-42.7826,147.0587,56.91,57,47,5.99,AU,1627449576
111,ribeira grande,38.5167,-28.7,71.73,86,60,8.88,PT,1627449576
112,orange cove,36.6244,-119.3137,91.06,35,1,4.61,US,1627449576
113,yellowknife,62.456,-114.3525,53.29,64,69,5.37,CA,1627449303
114,esperance,-33.8667,121.9,59.83,51,14,16.31,AU,1627449577
115,surt,31.2089,16.5887,77.85,67,0,7.36,LY,1627449578
116,ahuimanu,21.4447,-157.8378,82.11,67,90,13.8,US,1627449578
117,puerto ayora,-0.7393,-90.3518,71.13,85,21,9.62,EC,1627449578
118,luderitz,-26.6481,15.1594,53.78,74,0,10.98,NA,1627449579
119,maceio,-9.6658,-35.7353,71.04,100,20,2.3,BR,1627449579
120,portland,45.5234,-122.6762,76.98,55,20,1.01,US,1627449317
121,yinchuan,38.4681,106.2731,88.7,24,2,3.65,CN,1627449481
122,longyearbyen,78.2186,15.6401,42.64,93,75,8.05,SJ,1627449580
123,nantucket,41.2835,-70.0995,70.97,89,30,13.65,US,1627449580
124,hilo,19.7297,-155.09,74.93,90,90,3.44,US,1627449581
125,ponta do sol,32.6667,-17.1,72.23,79,8,4.61,PT,1627449581
126,saint-philippe,-21.3585,55.7679,67.59,91,90,19.01,RE,1627449582
127,noyabrsk,63.1994,75.4507,50.0,94,86,17.13,RU,1627449582
128,axim,4.8699,-2.2405,75.9,79,100,9.15,GH,1627449582
129,luganville,-15.5333,167.1667,77.88,82,84,13.49,VU,1627449583
130,lebu,-37.6167,-73.65,43.99,81,0,16.42,CL,1627449583
131,mahibadhoo,3.7833,72.9667,81.88,76,100,9.1,MV,1627449583
132,port blair,11.6667,92.75,82.9,82,100,19.44,IN,1627449584
133,lagoa,39.05,-27.9833,69.76,91,76,8.21,PT,1627449584
134,tuatapere,-46.1333,167.6833,51.82,78,72,2.62,NZ,1627449585
135,salisbury,51.0693,-1.7957,61.47,92,75,11.5,GB,1627449585
136,khatanga,71.9667,102.5,88.34,34,23,17.78,RU,1627449586
137,narasannapeta,18.4167,84.05,88.27,60,100,10.71,IN,1627449586
138,roebourne,-20.7833,117.1333,80.6,45,22,9.06,AU,1627449586
139,carnarvon,-24.8667,113.6333,71.67,54,90,11.5,AU,1627449587
140,castro,-24.7911,-50.0119,41.31,94,86,5.44,BR,1627449587
141,kichera,55.9375,110.0997,80.2,39,75,3.06,RU,1627449588
142,pangnirtung,66.1451,-65.7125,49.05,74,100,1.86,CA,1627449588
143,lorengau,-2.0226,147.2712,84.92,71,10,6.08,PG,1627449589
144,camacha,33.0833,-16.3333,68.76,73,75,12.66,PT,1627449589
145,trinidad,-14.8333,-64.9,63.48,28,42,9.4,BO,1627449589
146,provideniya,64.3833,-173.3,50.11,87,90,17.9,RU,1627449590
147,severo-kurilsk,50.6789,156.125,58.64,90,100,6.62,RU,1627449590
148,vanimo,-2.6741,141.3028,82.9,82,28,6.04,PG,1627449590
149,coihaique,-45.5752,-72.0662,31.95,93,0,2.3,CL,1627449591
150,iskateley,67.6803,53.1512,46.45,80,100,11.32,RU,1627449591
151,tommot,58.9564,126.2925,77.22,41,7,5.59,RU,1627449592
152,vuktyl,63.8567,57.3094,43.27,95,100,14.76,RU,1627449592
153,monopoli,40.9559,17.2896,84.72,54,49,4.61,IT,1627449592
154,cabo san lucas,22.8909,-109.9124,85.6,73,6,1.99,MX,1627449593
155,comodoro rivadavia,-45.8667,-67.5,42.66,52,0,8.05,AR,1627449301
156,dikson,73.5069,80.5464,37.31,98,100,14.72,RU,1627449593
157,karratha,-20.7377,116.8463,78.91,48,28,11.79,AU,1627449594
158,upernavik,72.7868,-56.1549,49.05,76,99,5.64,GL,1627449594
159,atuona,-9.8,-139.0333,78.04,69,8,18.03,PF,1627449594
160,ardakan,32.31,54.0175,91.78,11,0,12.93,IR,1627449595
161,mandalgovi,45.7625,106.2708,75.29,39,67,4.85,MN,1627449595
162,coahuayana,18.7333,-103.6833,77.67,93,97,3.29,MX,1627449596
163,pevek,69.7008,170.3133,38.52,86,97,14.36,RU,1627449596
164,vysotskoye,45.025,42.9064,63.77,78,100,2.48,RU,1627449596
165,stornoway,58.2093,-6.3865,61.93,94,90,14.97,GB,1627449597
166,geraldton,-28.7667,114.6,68.13,63,90,9.22,AU,1627449556
167,bredasdorp,-34.5322,20.0403,49.32,81,100,4.61,ZA,1627449597
168,manado,1.487,124.8455,95.77,49,20,6.91,ID,1627449598
169,turukhansk,65.8167,87.9833,54.18,87,100,6.73,RU,1627449598
170,kloulklubed,7.0419,134.2556,84.7,75,91,12.91,PW,1627449598
171,pyaozerskiy,65.8333,31.1667,66.79,53,21,7.96,RU,1627449599
172,leningradskiy,69.3833,178.4167,33.46,99,100,9.93,RU,1627449599
173,bilma,18.6853,12.9164,85.42,49,85,8.3,NE,1627449600
174,baruun-urt,46.6806,113.2792,82.11,34,35,12.48,MN,1627449600
175,oranjemund,-28.55,16.4333,52.11,82,0,5.48,NA,1627449600
176,sinnamary,5.3833,-52.95,77.25,87,14,7.87,GF,1627449601
177,pemangkat,1.1667,108.9667,87.51,66,77,10.98,ID,1627449601
178,kavieng,-2.5744,150.7967,83.93,73,19,6.91,PG,1627449603
179,le moule,16.3332,-61.3473,77.04,78,2,15.48,GP,1627449603
180,saskylakh,71.9167,114.0833,70.18,32,14,19.04,RU,1627449604
181,saldanha,-33.0117,17.9442,55.53,64,100,7.11,ZA,1627449604
182,kalat,29.0225,66.5916,83.7,19,91,6.62,PK,1627449354
183,unai,-16.3575,-46.9061,64.83,44,5,2.57,BR,1627449605
184,okhotsk,59.3833,143.3,62.19,78,48,13.76,RU,1627449605
185,suntar,62.1444,117.6319,86.07,37,4,5.99,RU,1627449606
186,xuchang,34.0167,113.8167,85.08,79,95,19.33,CN,1627449606
187,korla,41.7597,86.1469,97.45,12,7,5.82,CN,1627449606
188,te anau,-45.4167,167.7167,48.58,81,93,3.56,NZ,1627449607
189,xichang,27.8964,102.2634,75.56,75,100,2.37,CN,1627449607
190,san patricio,28.017,-97.5169,84.83,73,13,7.18,US,1627449608
191,thompson,55.7435,-97.8558,62.76,72,75,6.91,CA,1627449608
192,victoria,22.2855,114.1577,93.38,78,100,5.99,HK,1627449561
193,ilulissat,69.2167,-51.1,53.62,66,100,6.91,GL,1627449609
194,kaitangata,-46.2817,169.8464,49.93,70,57,2.44,NZ,1627449609
195,aykhal,66.0,111.5,86.16,30,43,7.0,RU,1627449609
196,porto novo,6.4965,2.6036,76.82,83,100,7.27,BJ,1627449610
197,suleja,9.1758,7.1808,70.79,97,100,2.91,NG,1627449610
